S. No.,Name,Location
,,
B 1,Ananta Lingeshwar ,Khuma
B 2,Uma Maheswar,Khuma
B 3,Shiva Khuma,Khuma
B 4,Indrayani Dyo Chhen,Khuma
B 5,Indrayani,Indrayani Khyo
B 6,Bansi Narayan,Layaku
B 7,Durga Mandir,Layaku
B 8,Lundhoka & Talaju,Layaku
B 9,Pashupati Nath,Layaku
B 10,Batsala Devi,Layaku
B 11,Bhagvati ,Layaku
B 12,Phasi Dega,Layaku
B 13,Balakhu Ganesh,Balakhu
B 14,Tripura Sundari,Tulachhen
B 15,Chhuma Ganesh,Chochhen
B 16,Mahakali Dyo Chhen,Yachhen
B 17,Mahakali,Bholachhen
B 18,Maha Lakshmi,Khalachhen
B 19,Yachhen Ganesh,Yachhen
B 20,Waan Baha,Kwathandau
B 21,Aajudyya Baha (Tadhangu),Kwathandau
B 22,Aajudyya Baha (Chidhangu),Kwathandau
B 23,Nav Durga ,Gachhen
B 24,Salan Ganesh,Tachapal
B 25,Brahmayani Mandir ,Brahmayani Ghat
B 26,Tom Baha,Taulachhen
B 27,Wakpati Narayan,Taulachhen
B 28,Dattatraya,Tachapal
B 29,Pujari Math ,Tachapal
B 30,Maheswari ,Maheswari Ghat
B 31,Bhimsen ,Tachapal
B 32,Enacho Baha,Enacho Tol
B 33,Muni Baha,Enacho Tol
B 34,Ram Mandir,Hanuman Ghat
B 35,Jhaur Bahi,Golmadi Tol
B 36,Golmadi Ganesh,Golmadi
B 37,Bhimsen ,Yashin Khyo
B 38,Lun Baha,Sukul Dhoka
B 39,Sukul Dhoka Math,Sukul Dhoka
B 40,Tadhunchhen Baha,Taumadi
B 41,Nyatapola ,Taumadi
B 42,Kasi Biswana ,Taumadi
B 43,Kil Madhav Narayan,Taumadi
B 44,Chandi Bhagbati,Kwachen Tol
B 45,Bhadrakali,Yashin Khyo
B 46,Pashupati Nath Shiva,Chuping Ghat
B 47,Narayan,Chuping Ghat
B 48,Shiva,Chuping Ghat
B 49,Akhan Baha,Bolachhen Tol
B 50,Jyotirng Shiva,Nasa Mana
B 51,Jeth Ganesh,Bolachhen Tol
B 52,Ram Mandir,Ram Ghat
B 53,Mangal Tirtha,Ram Ghat
B 54,Dhum Varahi,Te Khacho
B 55,Jaya Varahi,Te Khacho
B 56,Ni Baha,Bansa Gopal
B 57,Laska Dyo ,Itachhen
B 58,Tanchakune Baha,Tachhen
B 59,Kothu Baha,Enaga
B 60,Siddhi Pokhari,Enaga
B 61,Thathu Bahi,Itachhen
B 62,Kali Ghat ,Kasan Khola
