S. No.,Name,Location
,,
K 1,INDRAYANI-LUTI AJIMA,VISHNUMATI KHOLA
K 2,Bhodikha Ganesh,Dhobi Chaur
K 3,Saraswati,Chhetrapati
K 4,Bhagvati,Chhetrapati
K 5,Krishna ,Chhetrapati
K 6,Sweta Ganesh,Chhetrapati
K 7,Ram Baha,Paknajol
K 8,Shankasteswari Bhagwati,Thamel
K 9,Than Bahi Bhagwan Bahal,Thamel
K 10,Agan Chok,Thamel
K 11,Kamuru Kamakshya Devi,Thamel
K 12,Mana Kamana,Thamel
K 13,Dakshin Kali,Thamel
K 14,Kwa Bahal,Kwabahal
K 15,Bhagvati Mandir,Bhagwati Bahal
K 16,Chhusya Baha,Jyatha Tol
K 17,Musya Baha,Jyatha Tol
K 18,Chaitya,Thanhiti
K 19,Nriteswar,Thanhiti
K 20,Swan Chhapu Ganesh,Chhetrapati
K 21,Jhwa Baha,Kusumbiyalalahi
K 22,Jotiya Baha,Jhwa Baha Dune
K 23,Biswa Karma,Tanlashi
K 24,Ganesh,Tanlashi
K 25,Dhoka Baha,Tyauda
K 26,Luti maru Ajima Dyo Chhen,Tyauda
K 27,Gam Baha,Naghal
K 28,Srigha Baha,Naghal
K 29,Srigha Chaitya,Naghal
K 30 ,Nagha Baha,Naghal
K 31,Ikhanarayan,Bangemudha
K 32,Ganesh,Tengal
K 33,Raktakari,Tengal
K 34,Wasya Dyo,Bangemudha
K 35,Nhu Baha,Bangemudha
K 36,Ganesh,Nhayakantala
K 37,Nrisingh,Nhayakantala
K 38,Ugratara,Nhayakantala
K 39,Cha Baha,Nhayakantala
K 40,Jwala Mai,Tyauda
K 41,Kamaladi Ganesh Dyo Chhen,Tyauda
K 42,Dhalasiko Baha,Asan
K 43,Haku Baha,Asan
K 44,Kwothu Baha,Asan
K 45,Krishna ,Balkumari
K 46,Bal Kumari,Balkumari
K 47,Tachhe Baha,Asan
K 48,Okha Baha,Jarunchhen
K 49,Asan Baha,Jarunchhen
K 50,Annapurna,Asan
K 51,Narayan,Asan
K 52,Ganesh,Asan
K 53,Dagu Baha,Bhotahiti
K 54,Ganesh,Bhotahiti
K 55,Ajima Dyo Chhen,Bhotahiti
K 56,Tekan Baha,Asan-Kamalashi
K 57,Lunchun Lubun Ajima Dyo Chhen,Mahabaudha
K 58,Maha Bu Kacha Baha,Mahabaudha
K 59,Maha Bu Baha,Mahabaudha
K 60,Ganesh,Chikanata
K 61,Ganesh,Dugan Bahi
K 62,Dugan Bahi,Bhonsiko
K 63,Te Baha,Te Baha
K 64,Shankata mandir,Te Baha
K 65,Bandhu Datta Maha Bihar,Te Baha
K 66,Dyo Chhen,Te Baha
K 67,Chaitya,Te Baha
K 68,Sundhara,Sundhara
K 69,Bhimsen Stambha,Sundhara
K 70,Mahadev Mandir,Dharahara
K 71,Krishna Mandir,Dharahara
K 72,Taleju,Dharahara
K 73,Bhagvati,Dharahara
K 74,Rana Mukteswar,Purano Bhansar
K 75,Gana Baha,Gana Baha
K 76,Bhote Baha,Central Jail
K 77,Jagannath Mandir,Central Jail
K 78,Buddha Bari,Onde
K 79,Narayan,Onde
K 80,Kunsa Bahi,Hyumata
K 81,Tamu Baha,Hyumata
K 82,Tukan Baha,Hyumata
K 83,Narayan,Hyumata
K 84,Lhuga Baha,Jaisidewal
K 85,Jaisi Dewal,Jaisidewal
K 86,Ram Chandra Mandir,Jaisidewal
K 87,Kohiti Kacha Baha,Kohiti
K 88,Kohiti Baha,Kohiti
K 89,Kohiti,Kohiti
K 90,Takhitta Ajima Dyo Chhen,Kohiti
K 91,Yo Baha,Bhimsenthan
K 92,Bhimsen Mandir,Bhimsenthan
K 93,Bhindyo Hiti,Bhimsenthan
K 94,Bichhe Baha,Bhimsenthan
K 95,Shiva Mandir,Bhimsenthan
K 96,Chwaspa Baha,Maru Tole
K 97,Maru Hiti,Maru Tole
K 98,Santaneswar Mandir,Maru Tole
K 99,Maru Bahi,Maru Tole
K 100,Chivakhyo Chaitya ,Kankeswari
K 101,Kankeswari,Kankeswari
K 102,Mukum Bahi,Damai Tole
K 103,Ganesh,Yatkha
K 104,Dhansingh Baha ,Yatkha
K 105,Yatkha Baha,Yatkha
K 106,Tamu Baha,Tamuga Galli
K 107,Tamu Baha,Tamuga Galli
K 108,Nrisingh,Naradevi
K 109,Krishna,Naradevi
K 110,Uma Maheswar,Naradevi
K 111,Nara Devi,Naradevi
K 112,Akha Chhen,Naradevi
K 113,Namsingn Dega,Tamsipa
K 114,Naradevi Dyo Chhen,Nyatapacho
K 115,Bhuluka Dega,Yatkha
K 116,Arkhu Bahi,Yatkha
K 117,Kanga Ajima Dyo Chhen,Yatkha
K 118,Somlingeswar Mahadev,Yatkha
K 119,Makhan Baha,Makhan Tole
K 120,Itum Baha Nani,Itum Baha
K 121,Baku Nani,Itum Baha
K 122,Itum Baha,Itum Baha
K 123,Tara Nani,Itum Baha
K 124,Saraswati Nani,Itum Baha
K 125,Lokeswar,Kilagal
K 126,Chanchal Ganesh,Kilagal
K 127,Mahadev Mandir,Kilagal
K 128,Naudega,Bhedasing
K 129,Machhendra Nath,Jana Baha
K 130,Jana Baha,Kel Tole
K 131,Lunchun Lun Bun Ajima,Kel Tole
K 132,Shiva Mandir,Indra Chok
K 133,Mahadev Mandir,Indra Chok
K 134,Akash Bhairab,Indra Chok
K 135,Shiva Mandir,Rakhi Bazar
K 136,Moobaha,Otuu
K 137,Nav Durga,Otuu
K 138,Manjusri & Nriteswar ,Otuu
K 139,Lumadi Ajima Dyo chhen,Otuu
K 140,Khun Baha,Otuu
K 141,Chidhan Baha,Otuu
K 142,Tadhan Baha,Otuu
K 143,Sawal Baha,Sawal
K 144,Sawal Baha,Sawal
K 145,Pyukha Baha,Pyukha
K 146,Mahalakshmi Bhagwati,Bishal Bazar
K 147,Tunchhen Baha,Makhan Galli
K 148,Makhan Bahi,Makhan Tole
K 149,Tarani Devi Mandir,Makhan Tole
K 150,Kalika Mandir,Makhan Tole
K 151,Mahendreswar Mahadev,Makhan Tole
