S. No.,Name,Location,district
,,,
HP 1,Sital Niwas,Maharaj Gunj,Kathmandu
HP 2,Lakshmi Niwas,Maharaj Gunj,Kathmandu
HP 3,Subarna Mahal,Baluwatar,Kathmandu
HP 4,Subarna Bhawan,Bhat Bhateni,Kathmandu
HP 5,Bisal Nagar Durbar,Bisal Nagar,Kathmandu
HP 6,Satya Bhawan,Tangal,Kathmandu
HP 7,Tangal Durbar,Tangal,Kathmandu
HP 8,Agni Bhawan,Lajimpat,Kathmandu
HP 9,Mahabir Bhawan,Tangal,Kathmandu
HP 10,Sita Bhawan,Tangal,Kathmandu
HP 11,Saha Mahal,Naxal,Kathmandu
HP 12,Narayan Hiti Durbar,Royal Palace,Kathmandu
HP 13,Kaisher Mahal,Kanti Path,Kathmandu
HP 14,Bahadur Bhawan,Kanti Path,Kathmandu
HP 15,Fohara Durbar,Durbar Marga,Kathmandu
HP 16,Seto Durbar,Durbar Marga,Kathmandu
HP 17,Lal Durbar,Kamal Pokhari,Kathmandu
HP 18,Toran Bhawan,Naxal,Kathmandu
HP 19,Singh Durbar,Singh Durbar,Kathmandu
HP 20,Babar Mahal,Babar Mahal,Kathmandu
HP 21,Min Bhawan,Baneswar,Kathmandu
HP 22,Singh Mahal,Thapathali,Kathmandu
HP 23,Hari Bhawan,Dharahara,Kathmandu
HP 24,Silkhana,Chhawani,Kathmandu
HP 25,Kalimati Durbar,Kalimati,Kathmandu
HP 26,Rabi Bhawan,Kalimati,Kathmandu
HP 27,Ananda Niketan,Pulchowk,Lalitpur
HP 28,Harihar Bhawan,Pulchowk,Lalitpur
HP 29,Shree Mahal,Pulchowk,Lalitpur
HP 30,Shree Durbar,Patan Dhoka,Lalitpur
HP 31,Kiran Bhawan,Sanepa,Lalitpur
HP 32,Surendra Bhawan,Sanepa,Lalitpur
HP 33,Nir Bhawan,Jhamsikhel,Lalitpur
HP 34,Shanta Bhawan,Jhamsikhel,Lalitpur
HP 35,Shashi Bhawan,Jhamsikhel,Lalitpur
HP 36,Jawalakhel Durbar,Jhamsikhel,Lalitpur
HP 37,Narayan Bhawan I,Jhamsikhel,Lalitpur
HP 38,Narayan bhawan II,Jhamsikhel,Lalitpur
HP 39,Bikran Bhawan,Jhamsikhel,Lalitpur
HP 40,Man Bhawan,Jhamsikhel,Lalitpur
