S. No.,Name,Location
,,
P 1,Ashok Stupa,Lagankhel
P 2,Maha Lakshmi,Lagankhel
P 3,Thati Baha,Thati Tol
P 4,Balabhadra,Tangal
P 5,Ta Baha,Tangal
P 6,Machchhendra Nath,Tangal
P 7,Kinu Bahi,Ity Tol
P 8,I Baha,Ikhalakhu
P 9,Ikha Ba Nani,Ikhalakhu
P 10,Bhairab,Ikhalakhu
P 11,Narayan,Ikhalakhu
P 12,Ganesh,Ikhalakhu
P 13,Iku Baha,Ikhalakhu
P 14,Nhayakan Bahi,Ikhalakhu
P 15,Ganesh,Mahapal
P 16,Ola Nani,Dau Baha
P 17,Dau Baha Nani,Dau Baha
P 18,Keku Baha,Dau Baha
P 19,Yoku Baha,Dau Baha
P 20,Jog Dhusa Baha,Dau Baha
P 21,Wala Baha Dathu Nani,Dau Baha
P 22,Dau Baha,Dau Baha
P 23,Bhelakhu Baha,Dau Baha
P 24,Kayaga Nani,Dau Baha
P 25,Tri Lingeswar Mahadev,Bahalukha
P 26,Jina Baha,Jina Baha
P 27,Ganesh,Jina Baha
P 28,Agni Matha,Agni Matha
P 29,Narayan,Agni Matha
P 30,Jagat Mangal Vihar,Agni Matha
P 31,Hari Shankar Mandir,Balim
P 32,Narayan,Balim
P 33,Purna Chandi,Khalachhen
P 34,Mahadyo Nani,Ola Tol
P 35,Bansa Gopal,Ola Tol
P 36,Ola Baha,Ola Tol
P 37,Krishna,Ola Tol
P 38,Wachhen Nani Bahacha,Ola Tol
P 39,Haka Baha,Haka Baha
P 40,Wana Baha,Wana Baha
P 41,Bekha Raj Baha,Bu Baha
P 42,Bhailasin Baha,Bu Baha
P 43,Nhu Baha,Bu Baha
P 44,Bu Baha,Bu Baha
P 45,Bhagwan Chok,Bu Baha
P 46,Dev Raj Baha,Bu Baha
P 47,Iku Baha,Bu Baha
P 48,Sija Baha,Bu Baha
P 49,Kisi Choka Baha,Bu Baha
P 50,Krishna Mandir,Gabaha
P 51,Gabaha,Gabaha
P 52,Nabaha,Nabaha
P 53,Nabaha,Nabaha
P 54,Khwayan Bahi,Nabaha
P 55,Chaitya,Khwayan Bahi
P 56,Pan Baha,Na Tol
P 57,Pulchok Lohanhiti,Pulchok
P 58,Jawalakhel,Jawalakhel
P 59,Kato Pati,Jawalakhel
P 60,Tomka Dega,Jawalakhel
P 61,Ashok Stupa,Pulchok
P 62,Koya Bahi,Pulchok
P 63,Khadga Joginig,Pulchok
P 64,Dhoya Bahi,Pulchok
P 65,Ganesh Bahi,Natwa
P 66,Kwatha Baha,Natwa
P 67,Changal Baha,Natwa
P 68,Yaka Baha,Natwa
P 69,Shi Bahi,Siba Tol
P 70,Kachcha Baha,Siba Tol
