S. No.,Name,Location,district
,,,
To 1,Ganesh,Tokha,Kathmandu
To 2,Bhimsen,Tokha,Kathmandu
To 3,Narayan,Tokha,Kathmandu
To 4,Indrayani,Tokha,Kathmandu
VMz 1.1,Chandeswari,Tokha - Phulbari,Kathmandu
VMz 1.2,Chandeswari Mahadev,Tokha - Phulbari,Kathmandu
,,,
Su 1,Jyotilingeshvar,Sankhu,Kathmandu
Su 2,Narayan,Sankhu,Kathmandu
VMz 8.1,Bajrajogini,Sankhu,Kathmandu
VMz 8.2,Chaitya,Sankhu,Kathmandu
VMz 8.3,Mhasukhwa Maju,Sankhu,Kathmandu
,,,
Bo 1,Mahalakshmi,Bode,Kathmandu
Bo 2,Narayan,Bode,Kathmandu
Bo 3,Garuda Narayan,Bode,Kathmandu
Bo 4,Kalika,Bode,Kathmandu
Bo 5,Nilbarahi,Bode,Kathmandu
,,,
Na 1,Ganesh,Nade,
Na 2,Ganesh Dyochhen,Nade,
,,,
Ti 1,Balkumari,Thimi,Kathmandu
Ti 2,Lokeshvar,Thimi,Kathmandu
Ti 3,Gaurishankar,Thimi,Kathmandu
Ti 4,Rajganesh,Thimi,Kathmandu
Ti 5,Bharab & Degudya,Thimi,Kathmandu
Ti 6,Digu Bahal,Thimi,Kathmandu
Ti 7,Siddhikali,Thimi,Kathmandu
Ti 8,Jisvan Bahal,Thimi,Kathmandu
,,,
Ni 1,Bhagavati,Nala,Bhaktapur
Ni 2,Karunamaya,Nala,Bhaktapur
,,,
Sg 1,Bhagvati,Sanga,Bhaktapur
,,,
Du 1,Hara Siddhi,Dunlikhel,Kavrepalanchowk
Du 2,Narayan,Dunlikhel,Kavrepalanchowk
Du 3,Bhagvati,Dunlikhel,Kavrepalanchowk
Du 4,Ganesh,Dunlikhel,Kavrepalanchowk
,,,
Pa 1,Indreshvar Mahadev,Panauti,Kavrepalanchowk
Pa 2,Unmanta Bhairab,Panauti,Kavrepalanchowk
Pa 3,Tulanarayan,Panauti,Kavrepalanchowk
Pa 4,Krishna,Panauti,Kavrepalanchowk
Pa 5,Brahmayani,Panauti,Kavrepalanchowk
,,,
Lu 1,Mahalakshmi,Lubou,Lalitpur
,,,
Sa 1,Bhairab,Sanagaon,Lalitpur
Sa 2,Ganesh,Sanagaon,Lalitpur
Sa 3,Kaumari,Sanagaon,Lalitpur
,,,
Ha 1,Harasiddhi,Harisiddhi,Lalitpur
,,,
Tb 1,Phulchoki Mai,Thaibo,Lalitpur
Tb 2,Ganesh,Thaibo,Lalitpur
,,,
Ba 1,Shadakshyari Lokeshvar,Bandegaon,Lalitpur
,,,
Si 1,Bhringareshvar Mahadev,Sunaguthi,Lalitpur
Si 2 ,Balkumari,Sunaguthi,Lalitpur
,,,
Tc 1,Balkumari,Techo,Lalitpur
Tc 2,Bhairab,Techo,Lalitpur
Tc 3,Brahmayani,Techo,Lalitpur
Tc 4,Navadurga,Techo,Lalitpur
,,,
Ca 1,Krishna,Chapagaon,Lalitpur
Ca 2,Narayan,Chapagaon,Lalitpur
Ca 3,Ikha Bahal,Chapagaon,Lalitpur
Ca 4,Wa Bahil,Chapagaon,Lalitpur
Ca 5,Bhairab,Chapagaon,Lalitpur
,,,
Bu 1,Bhairab,Bulu,Lalitpur
Bu 2,Narayan,Bulu,Lalitpur
,,,
Py 1,Byakucha Mahadev,Pyangaon,Lalitpur
,,,
Bi 1,Karunamaya,Bungamati,Lalitpur
Bi 2,Hayagriva Bhairab,Bungamati,Lalitpur
Bi 3,Bunga Bahil,Bungamati,Lalitpur
Bi 4,Hayagriva Aganchhen,Bungamati,Lalitpur
,,,
Ko 001,Rudrayani,Khokana,Lalitpur
,,,
Pg 001,Vaishnavi,Panga,Kathmandu
Pg 002,Narayan,Panga,Kathmandu
,,,
Ki 1,Chilanchu Vihar,Kirtipur,Kathmandu
Ki 2,Jagat Pal Vihar,Kirtipur,Kathmandu
Ki 3,Buddha Dharma-Sangha,Kirtipur,Kathmandu
Ki 4,Baghbhairab,Kirtipur,Kathmandu
Ki 5,Narayan,Kirtipur,Kathmandu
Ki 6,Kvath (Layaku) UmaMaheshvar,Kirtipur,Kathmandu
Ki 7,Indrayani Pith,Kirtipur,Kathmandu
Ki 8,Chitu Bahil,Kirtipur,Kathmandu
Ki 9,Lokeshvar,Kirtipur,Kathmandu
Ki 10,Buddha Mandir,Kirtipur,Kathmandu
Ki 11,Chve Bahal (Harsa Kirti Vihar),Kirtipur,Kathmandu
Ki 12,Kve Bahal,Kirtipur,Kathmandu
,,,
St 1,Vishnu Devi,Satungal,Kathmandu
,,,
Kp 1,Kalika,Kisipidi,
,,,
Bl 1,Mahalakshmi,Balambu,Kathmandu
Bl 2,Mahalakshmi Aganchhen,Balambu,Kathmandu
Bl 3,Balambu Vihar,Balambu,Kathmandu
,,,
Ta 1,Mahalakshmi,Thankot,Kathmandu
Ta 2,Satya Narayan,Thankot,Kathmandu
,,,
VMz 2.1,Narayan,Budhanilkantha,Kathmandu
,,,
VMz 3.1,Boudha Stupa,Boudha,Kathmandu
,,,
VMz 4.1,Dhando Chaitya,Chabahil,Kathmandu
VMz 4.2,Chandra Binayak,Chabahil,Kathmandu
VMz 4.3,Cha Bahi,Chabahil,Kathmandu
VMz 4.4,Kuti Baha,Chabahil,Kathmandu
,,,
VMz 5.1,"Pashupati, Basuki",Pashupati,Kathmandu
VMz 5.2,Arya Ghat,Pashupati,Kathmandu
VMz 5.3,Bachhareswari,Pashupati,Kathmandu
VMz 5.4,Raj Rajeswari,Pashupati,Kathmandu
VMz 5.5,Panchayan Shiva,Pashupati,Kathmandu
VMz 5.6,Bankali,Pashupati,Kathmandu
VMz 5.7,Jaya Bageswari,Pashupati,Kathmandu
VMz 5.8,Bhubaneswari,Pashupati,Kathmandu
VMz 5.9,Dakshin Murti,Pashupati,Kathmandu
VMz 5.10,Gauri Ghat,Pashupati,Kathmandu
VMz 5.11,Viswarup,Pashupati,Kathmandu
VMz 5.12,Gorakh Nath,Pashupati,Kathmandu
VMz 5.13,Guheswari,Pashupati,Kathmandu
,,,
VMz 6.1,Mahadev,Gokarna,Kathmandu
VMz 6.2,Gajadhar Narayan,Gokarna,Kathmandu
,,,
VMz 7.1,Sundari Mai,Sundarijal,Kathmandu
,,,
VMz 9.1,Changu Narayan,Changu Narayan,Bhaktapur
VMz 9.2,Krishna,Changu Narayan,Bhaktapur
VMz 9.3,Nriteswar,Changu Narayan,Bhaktapur
VMz 9.4,Vishnu Mandap,Changu Narayan,Bhaktapur
VMz 9.5,Mahavishnu,Changu Narayan,Bhaktapur
VMz 9.6,Mahadev,Changu Narayan,Bhaktapur
VMz 9.7,Abalokiteswar,Changu Narayan,Bhaktapur
VMz 9.8,Ganesh,Changu Narayan,Bhaktapur
VMz 9.9,Chhinnamasta,Changu Narayan,Bhaktapur
VMz 9.10,Mahadev,Changu Narayan,Bhaktapur
VMz 9.11,Viswarup Vishnu,Changu Narayan,Bhaktapur
VMz 9.12,Lakshmi Narayan,Changu Narayan,Bhaktapur
VMz 9.13,Bhairab,Changu Narayan,Bhaktapur
VMz 9.14,Kileswar Mahadev,Changu Narayan,Bhaktapur
,,,
VMz 10.1,Chandeswari Devi Mandir,Banepa,Kavrepalanchowk
VMz 10.2,Mahadev,Banepa,Kavrepalanchowk
VMz 10.3,Chandeswari Dyo Chhen,Banepa,Kavrepalanchowk
,,,
VMz 11.1,Nama Buddha,Namara,Kavrepalanchowk
,,,
VMz 12.1,Suryabinayak,Bhaktapur,Bhaktapur
,,,
VMz 13.1,Barahi Mandir,Thimi,Bhaktapur
,,,
VMz 14.1,Mahadev Mandir,Koteswar,Kathmandu
VMz 14.2,Bhagvati Mandir,Koteswar,Kathmandu
VMz 14.3,Gaganeswar Mahadev,Koteswar,Kathmandu
VMz 14.4,Kuti Bahal,Koteswar,Kathmandu
,,,
VMz 15.1,Bishankhu,Godamchaur,Lalitpur
,,,
VMz 16.1,Godavari Kunda,Godawari,Lalitpur
VMz 16.2,Phulchoki Mai,Godawari,Lalitpur
VMz 16.3,Bhairab,Godawari,Lalitpur
VMz 16.4,Nau Dhara,Godawari,Lalitpur
,,,
VMz 17.1,Santaneswar Mahadev,Thaibo,Lalitpur
,,,
VMz 18.1,Bajrabarahi,Chapagaon,Lalitpur
,,,
VMz 19.1,Saraswati Kunda,Lele,Lalitpur
VMz 19.2,Gyan Kunda,Lele,Lalitpur
VMz 19.3,Tileswar Mahadev,Lele,Lalitpur
VMz 20.1,Tika Bhairab Mandir,Lele,Lalitpur
,,,
VMz 21.1,Dakshinkali Mandir,Pharping,Kathmandu
VMz 22.1,Bajrajogini Mandir,Pharping,Kathmandu
VMz 22.2,Gorakh Nath,Pharping,Kathmandu
VMz 23.1,Sekh Narayan,Pharping,Kathmandu
,,,
VMz 24.1,Karyabinayak,Bungamati,Lalitpur
,,,
VMz 25.1,Jal Binayak Mandir,Bagmati Chobar,Kathmandu
,,,
VMz 26.1,Adinath Mandir,Chobhar,Kathmandu
